"ID","Title","Expected Result","Section","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Type"
"C8","""""Modulo"""" operand functionality","","Unit Testing","","Input the following operation """"-1950 % -10240"""". Click on """"=""""

Expected Result:
The result is -1950Input the following operation """"-320 % -55"""". Click on """"=""""

Expected Result:
The result is -45Input the following operation """"-0 % 3"""". Click on """"=""""

Expected Result:
The result is 0Input the following operation """"110 % 3"""". Click on """"=""""
Expected Result:
The result is 2Input the following operation """"1230 % 35601"""". Click on """"=""""

Expected Result:
The result is 1230","1. 
2. 
3. 
4. 
5.","1. The result is -1950
2. The result is -45
3. The result is 0
4. The result is 2
5. The result is 1230","1. 
2. 
3. 
4. 
5.","1. 
2. 
3. 
4. 
5.","1. Input the following operation """"-1950 % -10240"""". Click on """"=""""

2. Input the following operation """"-320 % -55"""". Click on """"=""""

3. Input the following operation """"-0 % 3"""". Click on """"=""""

4. Input the following operation """"110 % 3"""". Click on """"=""""
5. Input the following operation """"1230 % 35601"""". Click on """"=""""","Other"
"C9","AC button functionality","","Unit Testing","","Input """"-135670"""" in the Calculator. Press AC
Expected Result:
Calculator screen is clearedInput """"-120"""" in the Calculator. Press AC
Expected Result:
Calculator screen is clearedInput """"1120"""" in the Calculator. Press AC
Expected Result:
Calculator screen is cleared","1. 
2. 
3.","1. Calculator screen is cleared
2. Calculator screen is cleared
3. Calculator screen is cleared","1. 
2. 
3.","1. 
2. 
3.","1. Input """"-135670"""" in the Calculator. Press AC
2. Input """"-120"""" in the Calculator. Press AC
3. Input """"1120"""" in the Calculator. Press AC","Other"
"C12","Input the 0 number multiple times","","Unit Testing","","Input 00 in the calculator
Expected Result:
Only one 0 appears","1","1. Only one 0 appears","1","1","1. Input 00 in the calculator","Other"
"C16","Enter a number larger than the calculator screen","The calculator screen resizes to adapt the number","Unit Testing","Input the number 123456789123456789","","","","","","","Other"
"C17","See the operation the result is referring to","","Unit Testing","","Input """"10x2""""
Click on """"=""""
Expected Result:
10x2 are shown on the upper side of the screen.
20 is shown in the lower side of the screen.","1","1. 10x2 are shown on the upper side of the screen.
20 is shown in the lower side of the screen.","1","1","1. Input """"10x2""""
Click on """"=""""","Other"
"C18","Operands precedence check","","Unit Testing","","Input """"10+5x2""""
Click on """"=""""
Expected Result:
The result is 20Input """"10/5x2""""
Click on """"=""""
Expected Result:
The result is 4","1. 
2.","1. The result is 20
2. The result is 4","1. 
2.","1. 
2.","1. Input """"10+5x2""""
Click on """"=""""
2. Input """"10/5x2""""
Click on """"=""""","Other"
"C19","Have a number with two period signs in it","","Unit Testing","","Enter the number 3.3.5
Expected Result:
The calculator doesn't allow the second """".""""","1","1. The calculator doesn't allow the second """".""""","1","1","1. Enter the number 3.3.5","Other"
"C1","Calculator & inputs are visible","The page opens. The calculator & button inputs are visible","Visual Testing","Open the page","","","","","","","Other"
"C14","Calculator dynamic resize","","Visual Testing","","Resize the page to 400 x 600 pixels
Expected Result:
Calculator is visibleResize the page to 300 x 600 pixels
Expected Result:
Calculator is visible","1. 
2.","1. Calculator is visible
2. Calculator is visible","1. 
2.","1. 
2.","1. Resize the page to 400 x 600 pixels
2. Resize the page to 300 x 600 pixels","Other"
"C20","Operands in the safari browser","","Visual Testing","","Open the page
Expected Result:
Operands should be displayed as in requirements","1","1. Operands should be displayed as in requirements","1","1","1. Open the page","Other"
